interval_index,elapsed_sec,interval_sec,frames,fps,alerts,latency_mean_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,cpu_percent,rss_mb,cumulative_frames
33,1980.0000352419447,60.00000187102705,1198087,19968.116043985247,1198087,0.021035531535744667,0.028142007067799568,0.05237304046750069,0.49513497948646545,55.3,75.09375,38963056
34,2040.0000335680088,59.99999832606409,1198850,19980.833890777256,1198850,0.020434536039829254,0.023413915187120438,0.051986075937747955,0.510146975517273,53.9,75.09375,40161906
35,2100.000034737983,60.000001169973984,1198677,19977.949610438645,1198677,0.02066195011138916,0.024325261637568436,0.04278425127267837,0.5386930704116821,54.3,75.09375,41360583
36,2160.0000338179525,59.99999907996971,1199284,19988.06697316045,1199284,0.020355701446533203,0.02487201616168022,0.04335702210664749,0.46807900071144104,54.0,75.09375,42559867
37,2220.0000343549764,60.00000053702388,1198507,19975.116487881423,1198507,0.021281959488987923,0.029694672860205124,0.05265895649790764,0.5268240571022034,55.8,75.09765625,43758374
38,2280.000033603981,59.99999924900476,1198047,19967.450249924335,1198047,0.021428633481264114,0.03427169099450107,0.056168995797634125,0.5541370511054993,56.5,75.09765625,44956421
39,2340.000035321922,60.000001717940904,1198928,19982.132761197947,1198928,0.020608551800251007,0.02261193096637726,0.05213089659810066,0.4518589675426483,54.3,75.1015625,46155349
40,2400.000034739962,59.999999418039806,1199327,19988.78352721127,1199327,0.01975724846124649,0.02076593227684498,0.02225475758314132,0.11860090494155884,52.3,75.1015625,47354676
41,2460.000034095021,59.99999935505912,1198920,19982.000214786814,1198920,0.020659279078245163,0.022328108549118042,0.05196102678775788,0.6217139363288879,54.3,75.1015625,48553596
42,2520.000033839955,59.99999974493403,1198120,19968.666751555455,1198120,0.02112850360572338,0.030808035284280777,0.0537396151944996,0.5506130456924438,55.8,75.1015625,49751716
43,2580.000033788965,59.99999994901009,1199226,19987.100016985674,1199226,0.0201303381472826,0.02097303420305252,0.036886775866150856,0.5302600264549255,53.2,75.1015625,50950942
44,2640.00003397197,60.000000183004886,1198725,19978.749939063186,1198725,0.020842550322413445,0.023928005248308182,0.052377708256244666,0.5153070688247681,54.8,75.1015625,52149667
45,2700.0000328560127,59.999998884042725,1198459,19974.31703817474,1198459,0.0206555537879467,0.024104025214910507,0.050076106563210106,0.5378040075302124,54.3,75.1015625,53348126
46,2760.0000347199384,60.00000186392572,1198959,19982.64937923043,1198959,0.020537585020065308,0.022289203479885923,0.04221140392124644,0.490632027387619,53.9,75.1015625,54547085
47,2820.0000341190025,59.99999939906411,1198508,19975.133533396245,1198508,0.02100403979420662,0.027474015951156616,0.052227988839149475,0.5405100584030151,55.1,75.1015625,55745593
48,2880.000033497927,59.99999937892426,1198848,19980.800206826505,1198848,0.020233282819390297,0.02157699689269066,0.04243557114154109,0.5443390607833862,53.5,75.10546875,56944441
49,2940.0000349290203,60.00000143109355,1198568,19976.13285687142,1198568,0.02102198638021946,0.02558203414082527,0.05227502062916756,0.5301920175552368,55.4,75.109375,58143009
50,3000.0000438289717,60.000008899951354,1199243,19987.380368554783,1199243,0.020165789872407913,0.021175015717744827,0.03632874034345172,0.5202720761299133,53.1,75.109375,59342252
51,3060.00003402296,59.9999901939882,1199049,19984.153266080713,1199049,0.0207720547914505,0.022008968889713272,0.04303049668669702,0.5329479575157166,54.7,75.109375,60541301
52,3120.00003422203,60.0000001990702,1198215,19970.249933741972,1198215,0.021494751796126366,0.028037000447511673,0.05284696817398071,0.5277149677276611,56.5,75.109375,61739516
53,3180.0000370789785,60.00000285694841,1198387,19973.115715630647,1198387,0.0213641207665205,0.030414050631225105,0.052523930892348275,0.5272659659385681,56.2,75.109375,62937903
54,3240.0000364269363,59.99999934795778,1198885,19981.416883812122,1198885,0.021069910377264023,0.028555048629641533,0.05206818133592598,0.5221399664878845,55.5,75.109375,64136788
55,3300.00003464194,59.99999821500387,1198744,19979.06726104263,1198744,0.020947162061929703,0.02378900535404682,0.052438002079725266,0.538305938243866,55.1,75.11328125,65335532
56,3360.000034995959,60.000000354018994,1199058,19984.299882086303,1199058,0.019942011684179306,0.020971987396478653,0.03755347155034535,0.48148900270462036,52.9,75.11328125,66534590
57,3420.0000330340117,59.99999803805258,1199141,19985.683986847685,1199141,0.020492468029260635,0.022600986063480377,0.04001855850219735,0.5326220989227295,54.1,75.11328125,67733731
58,3480.0000345469452,60.00000151293352,1199093,19984.88282940335,1199093,0.020130479708313942,0.021496903151273727,0.04054602786898621,0.5085381269454956,53.4,75.12109375,68932824
59,3540.000034926925,60.00000037997961,1198852,19980.86654012797,1198852,0.020544584840536118,0.022710003610700365,0.05194207280874252,0.5151810050010681,54.1,75.12109375,70131676
60,3600.0000335079385,59.99999858101364,1198993,19983.21713926521,1198993,0.020428316667675972,0.022616004571318626,0.04083508461713799,0.5438489317893982,53.9,75.12109375,71330669
61,3660.1619564580033,60.16192295006476,597677,9934.473013704703,597677,0.02074781432747841,0.027001974359154697,0.04276051998138426,0.5421350002288818,27.2,75.2265625,71928346
